date,time,rain_inches,dt,rain_cm
2023-06-27,02:27:58,0.04,2023-06-27 02:27:58,0.10160000000000001
2023-06-27,02:32:58,0.0,2023-06-27 02:32:58,0.0
2023-06-27,02:37:58,0.0,2023-06-27 02:37:58,0.0
2023-06-27,02:42:58,0.0,2023-06-27 02:42:58,0.0
2023-06-27,02:47:58,0.0,2023-06-27 02:47:58,0.0
2023-06-27,02:52:58,0.0,2023-06-27 02:52:58,0.0
2023-06-27,02:57:58,0.0,2023-06-27 02:57:58,0.0
2023-06-27,03:02:58,0.0,2023-06-27 03:02:58,0.0
2023-06-27,03:07:58,0.08,2023-06-27 03:07:58,0.20320000000000002
2023-06-27,03:12:58,0.399999999999999,2023-06-27 03:12:58,1.0159999999999976
2023-06-27,03:17:58,0.08,2023-06-27 03:17:58,0.20320000000000002
2023-06-27,03:22:58,0.0,2023-06-27 03:22:58,0.0
2023-06-27,03:27:58,0.0,2023-06-27 03:27:58,0.0
2023-06-27,03:32:58,0.04,2023-06-27 03:32:58,0.10160000000000001
2023-06-27,03:37:58,0.0,2023-06-27 03:37:58,0.0
2023-06-27,03:42:58,0.0,2023-06-27 03:42:58,0.0
2023-06-27,03:47:58,0.0,2023-06-27 03:47:58,0.0
2023-06-27,03:52:58,0.0,2023-06-27 03:52:58,0.0
2023-06-27,03:57:58,0.0,2023-06-27 03:57:58,0.0
2023-06-27,04:02:58,0.0,2023-06-27 04:02:58,0.0
2023-06-27,04:07:58,0.0,2023-06-27 04:07:58,0.0
2023-06-27,04:12:58,0.0,2023-06-27 04:12:58,0.0
2023-06-27,04:17:58,0.0,2023-06-27 04:17:58,0.0
2023-06-27,04:22:58,0.0,2023-06-27 04:22:58,0.0
2023-06-27,04:27:58,0.0,2023-06-27 04:27:58,0.0
2023-06-27,04:32:58,0.0,2023-06-27 04:32:58,0.0
2023-06-27,04:37:58,0.0,2023-06-27 04:37:58,0.0
2023-06-27,04:42:58,0.0,2023-06-27 04:42:58,0.0
2023-06-27,04:47:58,0.0,2023-06-27 04:47:58,0.0
2023-06-27,04:52:58,0.0,2023-06-27 04:52:58,0.0
2023-06-27,04:57:58,0.0,2023-06-27 04:57:58,0.0
2023-06-27,05:02:58,0.0,2023-06-27 05:02:58,0.0
2023-06-27,05:07:58,0.0,2023-06-27 05:07:58,0.0
2023-06-27,05:12:58,0.0,2023-06-27 05:12:58,0.0
2023-06-27,05:17:58,0.0,2023-06-27 05:17:58,0.0
2023-06-27,05:22:58,0.0,2023-06-27 05:22:58,0.0
2023-06-27,05:27:58,0.0,2023-06-27 05:27:58,0.0
2023-06-27,05:32:58,0.0,2023-06-27 05:32:58,0.0
2023-06-27,05:37:58,0.0,2023-06-27 05:37:58,0.0
2023-06-27,05:42:58,0.0,2023-06-27 05:42:58,0.0
2023-06-27,05:47:58,0.0,2023-06-27 05:47:58,0.0
2023-06-27,05:52:58,0.0,2023-06-27 05:52:58,0.0
2023-06-27,05:57:58,0.0,2023-06-27 05:57:58,0.0
2023-06-27,06:02:58,0.0,2023-06-27 06:02:58,0.0
2023-06-27,06:07:58,0.0,2023-06-27 06:07:58,0.0
2023-06-27,06:12:58,0.0,2023-06-27 06:12:58,0.0
2023-06-27,06:17:58,0.0,2023-06-27 06:17:58,0.0
2023-06-27,06:22:58,0.0,2023-06-27 06:22:58,0.0
2023-06-27,06:27:58,0.0,2023-06-27 06:27:58,0.0
2023-06-27,06:32:58,0.0,2023-06-27 06:32:58,0.0
2023-06-27,06:37:58,0.0,2023-06-27 06:37:58,0.0
2023-06-27,06:42:58,0.0,2023-06-27 06:42:58,0.0
2023-06-27,06:47:58,0.0,2023-06-27 06:47:58,0.0
2023-06-27,06:52:58,0.0,2023-06-27 06:52:58,0.0
2023-06-27,06:57:58,0.0,2023-06-27 06:57:58,0.0
2023-06-27,07:02:58,0.0,2023-06-27 07:02:58,0.0
2023-06-27,07:07:58,0.0,2023-06-27 07:07:58,0.0
2023-06-27,07:12:58,0.0,2023-06-27 07:12:58,0.0
