,BGN,BGNx3,Base,I,UG+I,V,V&I,node_name,node_id,neighborhood
0,0.0001259592530944431,-8.885497698862821e-05,0.0,0.00010350140176740297,9.666640353733769e-05,-0.0008208089996490919,-0.0004678862454339239,J105-S_flow,J105-S,"('Downtown', 'Southside, Drains to Harbor')"
1,0.023993928609975512,0.023990541059811576,0.0,-0.042789611915016845,-0.02218504304582547,-0.15308103662389438,-0.22014800646811183,J10-S_flow,J10-S,"('Downtown', 'Southside, Drains to Harbor')"
2,0.00047963706782372384,-0.00042917484464766176,0.0,0.06926585569051458,0.06915353906968136,-0.09139595639468823,-0.015320863998498524,J116-S_flow,J116-S,"('Downtown', 'Southside, Drains to Harbor')"
3,-5.160478365073828e-06,-9.892649817544452e-06,0.0,-0.7725153802477283,-0.7725189238264343,-0.059346874065981936,-0.8531006968661603,J119-S_flow,J119-S,"('Downtown', 'Southside, Drains to Harbor')"
4,-0.0002854903399363007,-0.0038251621397815683,0.0,-0.9194455485266153,-0.9206942744245429,-0.0007525147779674501,-0.9199707154983168,J128-S_flow,J128-S,"('Canton', 'Harris Creek')"
5,1.0205503853555342e-05,9.640898830376443e-07,0.0,-0.9935744967808952,-0.9935814653027842,-0.05134502942789987,-1.0394686450247383,J130-S_flow,J130-S,"('Downtown', 'Southside, Drains to Harbor')"
6,-8.926611007264995e-06,-6.212598556665228e-05,0.0,-0.9451799995808847,-0.9451755290597155,-0.04354840680776784,-1.0047827777367164,J131-S_flow,J131-S,"('Downtown', 'Southside, Drains to Harbor')"
7,2.7260348908875187e-05,-9.248050089416537e-05,0.0,0.004541712370792261,0.0045394744776552365,-0.02165203640659996,-0.016491904408816094,J136-S_flow,J136-S,"('Downtown', 'Southside, Drains to Harbor')"
8,0.00010696007859534173,-7.54524585437899e-05,0.0,8.78896769852533e-05,8.208564171263699e-05,-0.00018158338924301187,0.00011856814914046332,J138-S_flow,J138-S,"('Downtown', 'Southside, Drains to Harbor')"
9,0.0001119419531288024,-7.896680414587465e-05,0.0,9.198331032234108e-05,8.590894077364908e-05,-0.023642744185216724,-0.02334513777582803,J141-S_flow,J141-S,"('Downtown', 'Southside, Drains to Harbor')"
10,2.9214097807539474e-10,2.8830182685624095e-10,0.0,0.0002552135223456986,0.0002552446589056956,-0.07112873286248655,-0.07092154350220303,J157-S_flow,J157-S,"('Downtown', 'Southside, Drains to Harbor')"
11,0.00045006886798892864,-0.0003174904417604374,0.0,0.00036982403106033956,0.00034540168938645976,-0.04714594709302622,-0.04592296065167911,J163-S_flow,J163-S,"('Downtown', 'Southside, Drains to Harbor')"
12,8.088554531582304e-05,-5.9452619276534335e-05,0.0,6.948454048361086e-05,6.479469336584387e-05,-0.03086710017737193,-0.030639355030318782,J165-S_flow,J165-S,"('Federal Hill', 'Southside, Drains to Harbor')"
13,1.100430488398807e-05,-7.762726701221467e-06,0.0,9.04229703646564e-06,8.445164213277678e-06,-1.8681726896119244e-05,1.219857053014195e-05,J171-S_flow,J171-S,"('Canton', 'Northside, Drains to Harbor')"
14,0.0003394273477663745,-0.00023944099726236345,0.0,0.0002789092935131521,0.0002604907552621327,-0.0028491413464419857,-0.0018980298971755794,J177-S_flow,J177-S,"('Federal Hill', 'Southside, Drains to Harbor')"
15,0.00028704049831596024,-0.00021432368044127514,0.0,-0.02160493980285061,-0.021620053086861546,-0.029728876759063994,-0.05056142906434946,J182-S_flow,J182-S,"('Federal Hill', 'Southside, Drains to Harbor')"
16,9.743983397925149e-12,3.522298674951685e-09,0.0,3.1695795594810505e-06,3.1755840737002217e-06,-5.798068913875909e-09,3.1940339797476014e-06,J191-S_flow,J191-S,"('Fells Point', 'Canal Street Creek')"
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J1-S_flow,J1-S,"('Clifton Park', 'Canal Street Creek')"
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J204-S_flow,J204-S,"('Fells Point', 'Canal Street Creek')"
19,0.0,0.0,0.0,0.0,0.0,-0.20554948536885131,-0.20554948536885131,J208-S_flow,J208-S,"('Downtown', 'Southside, Drains to Harbor')"
20,-1.212769167757699e-06,-0.7367282991536981,0.0,-0.8330889354372668,-0.8330892829759629,-0.013982523949742198,-0.8440477911607411,J211-S_flow,J211-S,"('Fells Point', 'Canal Street Creek')"
21,7.890544401600863e-05,-5.666824984906782e-05,0.0,0.00023435938439320125,0.0002302720791709234,-0.00013857749308066047,0.00025715921449354084,J227-S_flow,J227-S,"('Locust Point', 'Southside, Drains to Harbor')"
22,-1.2593018825918234e-06,4.5899788250758355e-07,0.0,5.249052707101409e-06,5.825742354303998e-06,-2.1066825886956186e-06,1.353455294506034e-06,J231-S_flow,J231-S,"('Locust Point', 'Southside, Drains to Harbor')"
23,4.18405356000795e-07,9.019412191002552e-07,0.0,0.00011903640239280255,0.00012139606867239694,9.384906346984745e-07,0.00011946954942759769,J232-S_flow,J232-S,"('Locust Point', 'Southside, Drains to Harbor')"
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J234-S_flow,J234-S,"('Locust Point', 'Southside, Drains to Harbor')"
25,-5.210074694184108e-05,3.6753240091114137e-05,0.0,-4.281146647922007e-05,-3.998429416429694e-05,8.845010527358532e-05,-5.775509157102121e-05,J238-S_flow,J238-S,"('Locust Point', 'Southside, Drains to Harbor')"
26,0.00019433261185053397,-0.00013835910827086906,0.0,0.00022521989957091648,0.00021625694780258442,-0.00599913098303162,-0.005384618213560621,J240-S_flow,J240-S,"('Locust Point', 'Southside, Drains to Harbor')"
27,0.00020034145565084316,-0.00016334492661806976,0.0,-0.16060647408886375,-0.16043615729133176,-0.004313801482910495,-0.16418108049901736,J245-S_flow,J245-S,"('Locust Point', 'Southside, Drains to Harbor')"
28,-0.0892523024874543,-0.5524176846249222,0.0,-1.4103222958944042,-1.4238115285321267,-0.3193874553197533,-1.6261114349359869,J253-S_flow,J253-S,"('Eager Park', 'Canal Street Creek')"
29,-0.032252971389443275,-0.032252758294569084,0.0,-0.39093161359638984,-0.39093223307141445,-0.10845918557825662,-0.48166956832898267,J260-S_flow,J260-S,"('Broadway East', 'Canal Street Creek')"
30,-0.02490047691503694,-0.025118295839868576,0.0,-0.40874024963686084,-0.40869598461258594,-0.10024312915377198,-0.4956519473709058,J266-S_flow,J266-S,"('Clifton Park', 'Canal Street Creek')"
31,-0.00032952808814301626,0.00012010836857578866,0.0,0.001373546984221763,0.001524452370380791,-0.05068062452189337,-0.049817736363561904,J268-S_flow,J268-S,"('Clifton Park', 'Canal Street Creek')"
32,-0.00015625106695116298,5.6951323468057424e-05,0.0,0.0006512894940200464,0.0007228437209414462,-0.001524676981825679,-0.0010961903914581406,J273-S_flow,J273-S,"('Clifton Park', 'Canal Street Creek')"
33,-0.32258544548789825,-0.3225966549559458,0.0,-1.3601270602490434,-1.3715346210706336,-0.29518468701462863,-1.571711573364437,J278-S_flow,J278-S,"('Broadway East', 'Canal Street Creek')"
34,3.9294475576379106e-05,-3.233045583117544e-05,0.0,0.03693346409030185,0.03692620493531562,-7.030479176095561e-05,0.03693545244783847,J27-S_flow,J27-S,"('Locust Point', 'Southside, Drains to Harbor')"
35,-0.3747369881353144,-0.3747426209402063,0.0,-1.5176613917933173,-1.531259000329523,-0.3406475179442934,-1.7689642521535691,J280-S_flow,J280-S,"('Broadway East', 'Canal Street Creek')"
36,0.0,0.0,0.0,0.0,0.0,-0.2328862872318016,-0.2328862872318016,J328-S_flow,J328-S,"('Broadway East', 'Canal Street Creek')"
37,-0.22955600160845968,-0.22957560978658886,0.0,-1.3410218725556282,-1.3476660575108435,-0.3924485167198748,-1.6520170036242163,J329-S_flow,J329-S,"('Broadway East', 'Canal Street Creek')"
38,-0.16353162720298542,-0.16314289776187874,0.0,-1.4824906397110058,-1.4864236392933732,-0.332689949108151,-1.7317153789461268,J338-S_flow,J338-S,"('Eager Park', 'Canal Street Creek')"
39,0.0005631654333058123,-0.00042727231535000243,0.0,0.005359894787543951,0.005316328092150435,-0.0010095892894712577,0.005522959749671763,J33-S_flow,J33-S,"('Locust Point', 'Southside, Drains to Harbor')"
40,0.00016084195097310072,-0.00011346215146001981,0.0,0.00013216470390009505,0.0001234368460947266,-0.00027305726560200583,0.00017829766658117308,J34-S_flow,J34-S,"('Locust Point', 'Southside, Drains to Harbor')"
41,-0.029949779338299898,-0.3135070528313184,0.0,-1.7289216517904507,-1.7350826340978753,-0.24994880570346645,-1.8418026159714525,J361-S_flow,J361-S,"('Eager Park', 'Canal Street Creek')"
42,-0.07380168253637498,-0.4721857654882329,0.0,-1.3597606760642642,-1.3747296823800206,-0.27071331992657344,-1.5242347606392868,J366-S_flow,J366-S,"('Eager Park', 'Canal Street Creek')"
43,-0.5713874344296226,-1.1441606205645147,0.0,1.3838156311692575,0.8172319125311134,-1.073175986596322,0.16367243038010137,J385-S_flow,J385-S,"('Broadway East', 'Harris Creek')"
44,1.8516537458879156e-07,3.19566844986241e-07,0.0,-0.07104160864349574,-0.07104227297873233,-0.11324551203114996,-0.18188542781165218,J3-S_flow,J3-S,"('Fells Point', 'Northside, Drains to Harbor')"
45,-0.10787526608577913,-0.10787526608577913,0.0,0.0,0.0,-0.08746713361858927,-0.08746713361858927,J413-S_flow,J413-S,"('Broadway East', 'Harris Creek')"
46,-0.5352373507418946,-1.0628144774227302,0.0,1.206496257151052,0.27158106508568736,-0.9478408728105414,0.15481348797495187,J421-S_flow,J421-S,"('McElderry Park', 'Harris Creek')"
47,0.0005200117166435092,-0.00036682997065451417,0.0,0.000427296449334591,0.0003990787592851319,-0.0008828105887204174,0.0005764470967450919,J42-S_flow,J42-S,"('Locust Point', 'Southside, Drains to Harbor')"
48,0.0,0.0,0.0,0.0,0.0,-0.009197220967911424,-0.009197220967911424,J433-S_flow,J433-S,"('Madison-Eastend', 'Harris Creek')"
